id,menu_id,"title","url","target","icon_class","color",parent_id,order,"created_at","updated_at","route","parameters"
1,1,"Dashboard","","_self","voyager-boat",NULL,NULL,1,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.dashboard",NULL
2,1,"Media","","_self","voyager-images",NULL,NULL,5,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.media.index",NULL
3,1,"Users","","_self","voyager-person",NULL,NULL,3,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.users.index",NULL
4,1,"Roles","","_self","voyager-lock",NULL,NULL,2,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.roles.index",NULL
5,1,"Tools","","_self","voyager-tools",NULL,NULL,9,"2018-10-04 08:10:02","2018-10-04 08:10:02",NULL,NULL
6,1,"Menu Builder","","_self","voyager-list",NULL,5,10,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.menus.index",NULL
7,1,"Database","","_self","voyager-data",NULL,5,11,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.database.index",NULL
8,1,"Compass","","_self","voyager-compass",NULL,5,12,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.compass.index",NULL
9,1,"BREAD","","_self","voyager-bread",NULL,5,13,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.bread.index",NULL
10,1,"Settings","","_self","voyager-settings",NULL,NULL,14,"2018-10-04 08:10:02","2018-10-04 08:10:02","voyager.settings.index",NULL
11,1,"Arquitectonicos","","_self",NULL,NULL,NULL,15,"2018-10-04 08:20:04","2018-10-04 08:20:04","voyager.arquitectonicos.index",NULL
