id,"key","table_name","created_at","updated_at"
1,"browse_admin",NULL,"2018-10-04 08:10:02","2018-10-04 08:10:02"
2,"browse_bread",NULL,"2018-10-04 08:10:02","2018-10-04 08:10:02"
3,"browse_database",NULL,"2018-10-04 08:10:02","2018-10-04 08:10:02"
4,"browse_media",NULL,"2018-10-04 08:10:02","2018-10-04 08:10:02"
5,"browse_compass",NULL,"2018-10-04 08:10:02","2018-10-04 08:10:02"
6,"browse_menus","menus","2018-10-04 08:10:02","2018-10-04 08:10:02"
7,"read_menus","menus","2018-10-04 08:10:02","2018-10-04 08:10:02"
8,"edit_menus","menus","2018-10-04 08:10:02","2018-10-04 08:10:02"
9,"add_menus","menus","2018-10-04 08:10:02","2018-10-04 08:10:02"
10,"delete_menus","menus","2018-10-04 08:10:02","2018-10-04 08:10:02"
11,"browse_roles","roles","2018-10-04 08:10:02","2018-10-04 08:10:02"
12,"read_roles","roles","2018-10-04 08:10:02","2018-10-04 08:10:02"
13,"edit_roles","roles","2018-10-04 08:10:02","2018-10-04 08:10:02"
14,"add_roles","roles","2018-10-04 08:10:02","2018-10-04 08:10:02"
15,"delete_roles","roles","2018-10-04 08:10:02","2018-10-04 08:10:02"
16,"browse_users","users","2018-10-04 08:10:02","2018-10-04 08:10:02"
17,"read_users","users","2018-10-04 08:10:02","2018-10-04 08:10:02"
18,"edit_users","users","2018-10-04 08:10:02","2018-10-04 08:10:02"
19,"add_users","users","2018-10-04 08:10:02","2018-10-04 08:10:02"
20,"delete_users","users","2018-10-04 08:10:02","2018-10-04 08:10:02"
21,"browse_settings","settings","2018-10-04 08:10:02","2018-10-04 08:10:02"
22,"read_settings","settings","2018-10-04 08:10:02","2018-10-04 08:10:02"
23,"edit_settings","settings","2018-10-04 08:10:02","2018-10-04 08:10:02"
24,"add_settings","settings","2018-10-04 08:10:02","2018-10-04 08:10:02"
25,"delete_settings","settings","2018-10-04 08:10:02","2018-10-04 08:10:02"
26,"browse_arquitectonicos","arquitectonicos","2018-10-04 08:20:04","2018-10-04 08:20:04"
27,"read_arquitectonicos","arquitectonicos","2018-10-04 08:20:04","2018-10-04 08:20:04"
28,"edit_arquitectonicos","arquitectonicos","2018-10-04 08:20:04","2018-10-04 08:20:04"
29,"add_arquitectonicos","arquitectonicos","2018-10-04 08:20:04","2018-10-04 08:20:04"
30,"delete_arquitectonicos","arquitectonicos","2018-10-04 08:20:04","2018-10-04 08:20:04"
